,source_sentence,ref0,hyp0,wer0,ref1,hyp1,wer1
0,нууу ну я же тебе сказал что не надо,нууу ну я же тебе сказал что не надо,ну ну я же тебе сказал что не надо,0.1111111111111111,нууу ну я же тебе сказал что не надо,я же тебе сказал что не надо,0.2222222222222222
1,ты чё молчишь ты чё дурак что ли,ты чё молчишь ты чё дурак что ли,ты че молчишь дурак что ли,0.375,ты чё молчишь ты чё дурак что ли,ты че молчишь ты че дурак что ли,0.25
2,я не понял ещё раз здравствуйте а вы кто такой вообще скажите пожалуйста алё,я не понял ещё раз здравствуйте а вы кто такой вообще скажите пожалуйста алё,я не понял еще раз здравствуйте а вы кто такой вообще скажите пожалуйста але,0.14285714285714285,я не понял ещё раз здравствуйте а вы кто такой вообще скажите пожалуйста алё,ааа еще раз здравствуйте а вы кто такой вообще скажите пожалуйста але,0.35714285714285715
3,в какой кабинет куда прибыть начальнику второго отделу в триста четырнадцатый понедельник дежурный по военкомату полковник петух,в какой кабинет куда прибыть начальнику второго отделу в триста четырнадцатый понедельник дежурный по военкомату полковник петух,в какой кабинет куда прибыть начальнику второго отделу в триста четырнадцатый по военнокомату полковник петух,0.17647058823529413,в какой кабинет куда прибыть начальнику второго отделу в триста четырнадцатый понедельник дежурный по военкомату полковник петух,в какой кабинет куда прибыть начальнику второго дежурный по военнокомату полковник петух,0.35294117647058826
4,да вы издеваетесь надо мной вы понимаете о чем говорите ааа нет ну конечно вы правы,да вы издеваетесь надо мной вы понимаете о чем говорите ааа нет ну конечно вы правы,да вы издеваетесь надо мной вы понимаете о чем говорите нет ну конечно вы правы,0.0625,да вы издеваетесь надо мной вы понимаете о чем говорите ааа нет ну конечно вы правы,да вы издеваетесь надо мной вы понимаете о чем говорите они конечно вы правы,0.1875
5,а кто такая эта самая лариса андрейевна боткина,а кто такая эта самая лариса андрейевна боткина,а кто такая это самая лариса андрейевна болткина,0.25,а кто такая эта самая лариса андрейевна боткина,а кто такая это самая лариса андрейевна боткина,0.125
6,вы кто такая скажите мне пожалуйста куда прибыть то,вы кто такая скажите мне пожалуйста куда прибыть то,вы кто такая скажите мне пожалуйста куда прибыть то,0.0,вы кто такая скажите мне пожалуйста куда прибыть то,вы такая скажите мне пожалуйста куда прибыль то,0.2222222222222222
7,время московское время одиннадцать ноль три,время московское время одиннадцать ноль три,время московское время одиннадцать ноль три,0.0,время московское время одиннадцать ноль три,время московское время одиннадцать ноль три,0.0
8,я понял вас хорошо,я понял вас хорошо,я понял вас хорошо,0.0,я понял вас хорошо,я понял вас хорошо,0.0
9,я полковник в первую очередь а не в смысле блядь как у кого где у меня вот это вот всё,я полковник в первую очередь а не в смысле блядь как у кого где у меня вот это вот всё,я полковник в первую очередь они вот ну вот я вот все,0.65,я полковник в первую очередь а не в смысле блядь как у кого где у меня вот это вот всё,я полконик в первую очередь он не смысле блять как у кого где у меня вот все,0.35
